Ингредиенты, 100 гА-Я;Калории, ккал;Белки, г;Жиры, г;Углеводы, г
Какао-порошок;70ккал;3г;2г;11г
Филе трески;69ккал;16г;0.6г;0г
Клубничное желе;69ккал;3г;0.04г;16г
Маракуйя;68ккал;2г;0.4г;13г
Йогурт натуральный;68ккал;5г;3г;4г
Ананас консервированный;67ккал;0.1г;0.1г;14г
Мацони;65.3ккал;2.9г;3.8г;4.7г
Манго;65ккал;0.51г;0.27г;15г
Вино красное сухое;64ккал;0.2г;0г;0.3г
Топинамбур;61ккал;2г;0.1г;13г
Фейхоа;61ккал;0.71г;0.42г;15.21г
Вино белое сухое;61ккал;0.1г;0г;0.6г
Батат;60ккал;2г;0г;14г
Молоко;60ккал;3г;3г;5г
Простокваша;59ккал;3г;3г;4г
Аджика;59ккал;1г;8г;6г
Кукуруза консервированная;58ккал;2г;0.4г;11г
Светлый соевый соус;58ккал;6.4г;0г;7.9г
Бобы;57ккал;6г;0.1г;9г
Морковный сок;56ккал;1г;0.1г;13г
Хрен сливочный;56ккал;3г;0.4г;11г
Горошек зеленый стручковый;55ккал;5г;0.2г;8г
Инжир;54ккал;0.7г;0.2г;12г
Ряженка;54ккал;3г;3г;4г
Рисовый уксус;54ккал;0.3г;0г;13г
Мандарин;53ккал;0.81г;0.31г;12г
Кефир;53ккал;3г;3г;4г
Горошек консервированный;53ккал;3г;0.3г;6г
Артишоки маринованные;53ккал;1.2г;0.1г;6г
Ананас;52ккал;0.3г;0.1г;12г
Вишня;52ккал;0.8г;0.2г;11г
Вишневый сок;51ккал;0.7г;0.2г;11г
Соевый соус;51ккал;6г;0г;7г
Петрушка;49ккал;4г;0.4г;8г
Шалфей;49ккал;4г;0.4г;8г
Слива;49ккал;0.8г;0.3г;10г
Айва;48ккал;0.6г;0.5г;10г
Пастернак;47ккал;1.4г;0.5г;9.2г
Груша;47ккал;0.4г;0.3г;10г
Киви;47ккал;0.8г;0.4г;8г
Яблоки кисло-сладкие;47ккал;0.4г;0.4г;10г
Брусника;46ккал;0.7г;0.5г;8г
Малина;46ккал;0.8г;0.5г;8г
Персик;45ккал;1г;0.1г;10г
Крыжовник;45ккал;0.7г;0.2г;7г
Нектарин;44ккал;1г;0.3г;9г
Абрикосы;44ккал;0.9г;0.1г;9г
Смородина черная;44ккал;1г;0.4г;7г
Черника;44ккал;1г;0.4г;8г
Брюссельская капуста;43ккал;5г;0г;8г
Смородина красная;43ккал;0.6г;0.2г;8г
Вешенки;43ккал;3г;0.41г;2г
Вода газированная;43ккал;0.1г;г;10г
Рыбный соус;43ккал;3г;1.7г;5г
Свекла;42ккал;1.5г;0.1г;9г
Чеснок маринованный;42ккал;2г;0.1г;9г
Яблочный сок;42ккал;0.4г;0.4г;9.8г
Лук репчатый;41ккал;1.4г;0.2г;8г
Лук красный;41ккал;1.4г;0.2г;8г
Клубника;41ккал;0.8г;0.4г;8г
Перец чили;40ккал;2г;0.2г;10г
Укроп;40ккал;3г;0.5г;6г
Персик консервированный;40ккал;1г;0.1г;10г
Перец пикильо;39ккал;1.3г;0.3г;8г
Голубика;39ккал;1г;0.5г;7г
Клубника замороженная;37ккал;0.8г;0.4г;8г
Перец печеный консервированный;37ккал;2г;0.1г;7г
Лук-порей;36ккал;2г;0.2г;6г
Апельсины;36ккал;0.9г;0.2г;8г
Морковь;35ккал;1.3г;0.1г;7г
Дыня;35ккал;0.6г;0.3г;7г
Грибы лесные;35ккал;2г;0.7г;4г
Корень сельдерея;34ккал;1.3г;0.3г;7г
Брокколи;34ккал;3г;0.37г;7г
Микс-салат;34ккал;1.4г;1.5г;4г
Лимон;34ккал;1г;0.1г;3г
Ежевика;34ккал;1.5г;0.5г;4г
Гриб белый;34ккал;4г;1.7г;1.1г
Шиитаке;34ккал;2г;0.5г;7г
Мини-морковь;33ккал;1.3г;0.1г;7г
Репа;32ккал;1.5г;0.1г;6.2г
Кресс-салат;32ккал;3г;0.7г;4г
Фенхель;31ккал;1.2г;0.2г;7г
Перец рамиро;30ккал;1.3г;0.1г;5.2г
Цветная капуста;30ккал;0.5г;0.3г;4г
Лук сибулет;30ккал;3г;0.73г;2г
Лайм;30ккал;0.7г;0.2г;8г
Капуста белокочанная;28ккал;1.8г;0.1г;4г
Капуста савойская;28ккал;1.2г;0.1г;6г
Капуста квашеная;27ккал;1.6г;0.1г;5г
Базилик зеленый;27ккал;3г;0.6г;4г
Базилик фиолетовый;27ккал;3г;0.6г;4г
Шампиньоны;27ккал;4г;1г;1г
Перец болгарский;26ккал;1.3г;0.1г;5г
Капуста краснокочанная;26ккал;0.8г;0.2г;5г
Агар-агар;26ккал;4г;0г;76г
Тархун;25ккал;1.5г;0г;5г
Руккола;25ккал;3г;0.7г;2г
Арбуз;25ккал;0.6г;0.1г;6г
Перец маринованный;25ккал;1.3г;0.1г;5г
Баклажаны;24ккал;1.2г;0.1г;5г
Кабачок;24ккал;0.6г;0.3г;5г
Кофе сваренный;23.3ккал;0.9г;0.9г;3г
Фасоль стручковая;23ккал;3г;0.3г;3г
Шпинат;23ккал;3г;0.4г;4г
Кинза;23ккал;2г;0.52г;0.87г
Каперсы маринованные;23ккал;2г;0г;1г
Тыква;22ккал;1г;0.1г;4г
Щавель;22ккал;1.5г;0.3г;3г
Гриб портобелло;22ккал;2г;0.35г;3г
Опята;22ккал;2г;1.2г;0.5г
Цукини;21ккал;3г;0.4г;2г
Дайкон;21ккал;1.2г;0г;4г
Салат корн;21ккал;2г;0.4г;4г
Цикорий;21ккал;1.7г;0.2г;4г
Уксус яблочный;21ккал;0г;0г;0.9г
Куриная голень;20ккал;19г;14г;0г
Спаржа белая;20ккал;2г;0.1г;3г
Редис;20ккал;1.2г;0.1г;3г
Спаржа зеленая;20ккал;2г;0.1г;3г
Помидоры красные;20ккал;0.6г;0.2г;4г
Лук зеленый;20ккал;1.3г;0.1г;3г
Салат радиккио;20ккал;1.5г;0.2г;3г
Томаты консервированные;20ккал;1г;0.1г;4г
Мангольд;19ккал;2г;0.2г;2г
Лисички;19ккал;1.5г;1г;1г
Винный уксус красный;19ккал;0.04г;0г;0.27г
Томатный сок;18ккал;1г;0.1г;3г
Стевия;18ккал;г;г;0.1г
Салат романо;17ккал;1.8г;1г;3г
Капуста пекинская;16ккал;1.2г;0.2г;2г
Ревень;16ккал;0.7г;0.1г;3г
Цедра лайма;16ккал;1г;0.1г;3г
Огурцы маринованные;16ккал;3г;0г;1.3г
